"File" "Phase" "h" "k" "l" "Angle" "d (nm)" "Intensity (deg*cts)" "Rel. intensity (%)" "Texture" "B1 (1/nm)" "B2 (1/nm)"
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Boehmite (hkl) (Boehmite.str)" 0 2 0 14.468700000 0.611700000 5580.000000000 100.000000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Boehmite (hkl) (Boehmite.str)" 0 2 1 28.158500000 0.316700000 3017.880400000 54.080000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Boehmite (hkl) (Boehmite.str)" 0 4 0 29.174700000 0.305800000 2.413300000 0.040000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Boehmite (hkl) (Boehmite.str)" 1 1 0 31.962200000 0.279800000 8.616500000 0.150000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Boehmite (hkl) (Boehmite.str)" 0 4 1 38.140500000 0.235800000 45.021700000 0.810000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Boehmite (hkl) (Boehmite.str)" 1 3 0 38.282400000 0.234900000 3146.716500000 56.390000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Boehmite (hkl) (Boehmite.str)" 1 1 1 40.380500000 0.223200000 0.189500000 0.000000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Boehmite (hkl) (Boehmite.str)" 0 6 0 44.392900000 0.203900000 12.767000000 0.230000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Boehmite (hkl) (Boehmite.str)" 1 3 1 45.707000000 0.198300000 409.378100000 7.340000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Boehmite (hkl) (Boehmite.str)" 1 5 0 48.844600000 0.186300000 2744.634900000 49.190000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Boehmite (hkl) (Boehmite.str)" 0 0 2 49.198100000 0.185000000 1816.150100000 32.550000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Boehmite (hkl) (Boehmite.str)" 0 6 1 51.103100000 0.178600000 19.934900000 0.360000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Boehmite (hkl) (Boehmite.str)" 0 2 2 51.557400000 0.177100000 510.731000000 9.150000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Boehmite (hkl) (Boehmite.str)" 1 5 1 55.147500000 0.166400000 1230.202700000 22.050000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Boehmite (hkl) (Boehmite.str)" 0 4 2 58.225100000 0.158300000 0.020500000 0.000000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Boehmite (hkl) (Boehmite.str)" 1 1 2 59.878000000 0.154300000 7.917900000 0.140000000 1.000000000 1.000000000 0.000000000
