"File" "Phase" "h" "k" "l" "Angle" "d (nm)" "Intensity (deg*cts)" "Rel. intensity (%)" "Texture" "B1 (1/nm)" "B2 (1/nm)"
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 6.RAW" "Y2O3 (hkl) (Y2O3.STR)" 2 0 0 16.710700000 0.530100000 161.153800000 0.200000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 6.RAW" "Y2O3 (hkl) (Y2O3.STR)" 2 1 1 20.503100000 0.432800000 8628.850700000 10.450000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 6.RAW" "Y2O3 (hkl) (Y2O3.STR)" 2 2 0 23.717800000 0.374800000 14.815800000 0.020000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 6.RAW" "Y2O3 (hkl) (Y2O3.STR)" 2 2 2 29.154900000 0.306100000 82598.000000000 100.000000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 6.RAW" "Y2O3 (hkl) (Y2O3.STR)" 3 2 1 31.549300000 0.283400000 83.482800000 0.100000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 6.RAW" "Y2O3 (hkl) (Y2O3.STR)" 3 1 2 31.549300000 0.283400000 347.575100000 0.420000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 6.RAW" "Y2O3 (hkl) (Y2O3.STR)" 4 0 0 33.790700000 0.265100000 22481.188100000 27.220000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 6.RAW" "Y2O3 (hkl) (Y2O3.STR)" 4 1 1 35.908000000 0.249900000 4415.973700000 5.350000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 6.RAW" "Y2O3 (hkl) (Y2O3.STR)" 4 2 0 37.922400000 0.237100000 656.433100000 0.790000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 6.RAW" "Y2O3 (hkl) (Y2O3.STR)" 4 0 2 37.922400000 0.237100000 340.329900000 0.410000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 6.RAW" "Y2O3 (hkl) (Y2O3.STR)" 3 3 2 39.849700000 0.226000000 5186.179800000 6.280000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 6.RAW" "Y2O3 (hkl) (Y2O3.STR)" 4 2 2 41.702200000 0.216400000 835.181100000 1.010000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 6.RAW" "Y2O3 (hkl) (Y2O3.STR)" 4 3 1 43.489800000 0.207900000 3654.948800000 4.420000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 6.RAW" "Y2O3 (hkl) (Y2O3.STR)" 4 1 3 43.489800000 0.207900000 4422.020300000 5.350000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 6.RAW" "Y2O3 (hkl) (Y2O3.STR)" 5 2 1 46.900700000 0.193600000 1289.853500000 1.560000000 1.000000000 1.000000000 0.000000000
