"File" "Phase" "h" "k" "l" "Angle" "d (nm)" "Intensity (deg*cts)" "Rel. intensity (%)" "Texture" "B1 (1/nm)" "B2 (1/nm)"
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 1 0 -1 13.144000000 0.673000000 0.068800000 0.000000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 1 0 1 14.227000000 0.622000000 9.089000000 0.160000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 0 0 2 18.267000000 0.485300000 5580.000000000 100.000000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 0 1 1 19.715400000 0.449900000 1.990400000 0.040000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 1 1 0 20.258100000 0.438000000 1982.867300000 35.540000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 2 0 0 20.502500000 0.432800000 952.856200000 17.080000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 1 1 -1 21.908700000 0.405400000 0.782500000 0.010000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 1 1 1 22.585500000 0.393400000 0.250600000 0.000000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 0 1 2 25.366700000 0.350800000 0.026700000 0.000000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 2 0 -2 26.464900000 0.336500000 353.862500000 6.340000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 1 1 -2 26.846400000 0.331800000 625.307300000 11.210000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 2 1 0 27.046900000 0.329400000 10.287300000 0.180000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 1 1 2 27.959900000 0.318900000 476.112700000 8.530000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 2 1 -1 28.053500000 0.317800000 31.862400000 0.570000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 1 0 -3 28.659400000 0.311200000 0.691900000 0.010000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 2 0 2 28.679400000 0.311000000 218.215800000 3.910000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 2 1 1 29.124500000 0.306400000 18.266000000 0.330000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 1 0 3 30.223400000 0.295500000 2.396600000 0.040000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 3 0 -1 31.615200000 0.282800000 13.603200000 0.240000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 2 1 -2 31.876800000 0.280500000 21.669300000 0.390000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 0 1 3 32.797300000 0.272800000 1.118700000 0.020000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 3 0 1 33.052500000 0.270800000 36.291700000 0.650000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 1 1 -3 33.750600000 0.265400000 0.888900000 0.020000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 2 1 2 33.767800000 0.265200000 50.936500000 0.910000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 1 1 3 35.110200000 0.255400000 0.527700000 0.010000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 0 2 0 35.322300000 0.253900000 3.202900000 0.060000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 3 1 0 35.761600000 0.250900000 9.634100000 0.170000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 3 1 -1 36.335100000 0.247100000 474.338400000 8.500000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 0 2 1 36.552300000 0.245600000 847.024300000 15.180000000 1.000000000 1.000000000 0.000000000
