"File" "Phase" "h" "k" "l" "Angle" "d (nm)" "Intensity (deg*cts)" "Rel. intensity (%)" "Texture" "B1 (1/nm)" "B2 (1/nm)"
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Goethite (hkl) (Goethite.str)" 0 2 0 17.796300000 0.498000000 699.504900000 12.540000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Goethite (hkl) (Goethite.str)" 1 1 0 21.239300000 0.418000000 5580.000000000 100.000000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Hematite (hkl) (Hematite.str)" 1 -1 2 24.154500000 0.368200000 1562.134000000 28.000000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Goethite (hkl) (Goethite.str)" 1 2 0 26.338600000 0.338100000 627.045600000 11.240000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Hematite (hkl) (Hematite.str)" 1 -1 -4 33.164800000 0.269900000 5580.000000000 100.000000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Goethite (hkl) (Goethite.str)" 1 3 0 33.240900000 0.269300000 2797.831900000 50.140000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Goethite (hkl) (Goethite.str)" 0 2 1 34.685300000 0.258400000 1431.005100000 25.650000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Goethite (hkl) (Goethite.str)" 1 0 1 35.493700000 0.252700000 352.195100000 6.310000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Hematite (hkl) (Hematite.str)" 2 -1 0 35.641400000 0.251700000 4033.599900000 72.290000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Goethite (hkl) (Goethite.str)" 0 4 0 36.041000000 0.249000000 951.210100000 17.050000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Goethite (hkl) (Goethite.str)" 1 1 1 36.657700000 0.245000000 4951.275900000 88.730000000 1.000000000 1.000000000 0.000000000
