"File" "Phase" "h" "k" "l" "Angle" "d (nm)" "Intensity (deg*cts)" "Rel. intensity (%)" "Texture" "B1 (1/nm)" "B2 (1/nm)"
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Hematite (hkl) (Hematite.str)" 1 -1 2 24.154500000 0.368200000 1562.134000000 28.000000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Hematite (hkl) (Hematite.str)" 1 -1 -4 33.164800000 0.269900000 5580.000000000 100.000000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Hematite (hkl) (Hematite.str)" 2 -1 0 35.641400000 0.251700000 4033.599900000 72.290000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Hematite (hkl) (Hematite.str)" 0 0 6 39.288600000 0.229100000 87.307100000 1.560000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Hematite (hkl) (Hematite.str)" 2 -1 3 40.872100000 0.220600000 1353.342100000 24.250000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Hematite (hkl) (Hematite.str)" 2 -2 -2 43.520700000 0.207800000 116.944800000 2.100000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Hematite (hkl) (Hematite.str)" 2 -2 4 49.474900000 0.184100000 2621.568300000 46.980000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Hematite (hkl) (Hematite.str)" 2 -1 6 54.080600000 0.169400000 3368.262200000 60.360000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Hematite (hkl) (Hematite.str)" 3 -2 -1 56.176100000 0.163600000 39.832900000 0.710000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Hematite (hkl) (Hematite.str)" 3 -2 2 57.465600000 0.160200000 177.701300000 3.180000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Hematite (hkl) (Hematite.str)" 1 -1 8 57.607100000 0.159900000 655.027800000 11.740000000 1.000000000 1.000000000 0.000000000
