"File" "Phase" "h" "k" "l" "Angle" "d (nm)" "Intensity (deg*cts)" "Rel. intensity (%)" "Texture" "B1 (1/nm)" "B2 (1/nm)"
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Quartz-p3221 (hkl) (Quartz-p3221.str)" 1 -1 0 20.856800000 0.425600000 1480.848700000 26.540000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Quartz-p3221 (hkl) (Quartz-p3221.str)" 1 -1 1 26.636800000 0.334400000 5580.000000000 100.000000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Quartz-p3221 (hkl) (Quartz-p3221.str)" 1 -1 -1 26.636800000 0.334400000 2488.494500000 44.600000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Quartz-p3221 (hkl) (Quartz-p3221.str)" -2 1 0 36.542100000 0.245700000 663.660800000 11.890000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Quartz-p3221 (hkl) (Quartz-p3221.str)" 2 -1 0 36.542100000 0.245700000 663.660800000 11.890000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Quartz-p3221 (hkl) (Quartz-p3221.str)" 1 -1 2 39.462000000 0.228200000 133.545800000 2.390000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Quartz-p3221 (hkl) (Quartz-p3221.str)" 1 -1 -2 39.462000000 0.228200000 483.980300000 8.670000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Quartz-p3221 (hkl) (Quartz-p3221.str)" -2 1 1 40.287200000 0.223700000 298.117100000 5.340000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Quartz-p3221 (hkl) (Quartz-p3221.str)" 2 -1 -1 40.287200000 0.223700000 298.117100000 5.340000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Quartz-p3221 (hkl) (Quartz-p3221.str)" 2 -2 0 42.447700000 0.212800000 457.424500000 8.200000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Quartz-p3221 (hkl) (Quartz-p3221.str)" 2 -2 1 45.790300000 0.198000000 105.039300000 1.880000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Quartz-p3221 (hkl) (Quartz-p3221.str)" 2 -2 -1 45.790300000 0.198000000 272.855700000 4.890000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Quartz-p3221 (hkl) (Quartz-p3221.str)" -2 1 2 50.134100000 0.181800000 1418.382600000 25.420000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Quartz-p3221 (hkl) (Quartz-p3221.str)" 2 -1 -2 50.134100000 0.181800000 1418.382600000 25.420000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Quartz-p3221 (hkl) (Quartz-p3221.str)" 0 0 3 50.614100000 0.180200000 25.925400000 0.460000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Quartz-p3221 (hkl) (Quartz-p3221.str)" 2 -2 2 54.867700000 0.167200000 354.646200000 6.360000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Quartz-p3221 (hkl) (Quartz-p3221.str)" 2 -2 -2 54.867700000 0.167200000 61.360000000 1.100000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Quartz-p3221 (hkl) (Quartz-p3221.str)" 1 -1 3 55.318600000 0.165900000 178.591400000 3.200000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Quartz-p3221 (hkl) (Quartz-p3221.str)" 1 -1 -3 55.318600000 0.165900000 2.395700000 0.040000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Quartz-p3221 (hkl) (Quartz-p3221.str)" -3 2 0 57.226900000 0.160800000 24.538900000 0.440000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Quartz-p3221 (hkl) (Quartz-p3221.str)" 3 -2 0 57.226900000 0.160800000 24.538900000 0.440000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Quartz-p3221 (hkl) (Quartz-p3221.str)" -3 2 1 59.953200000 0.154200000 494.614200000 8.860000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Quartz-p3221 (hkl) (Quartz-p3221.str)" 3 -2 -1 59.953200000 0.154200000 494.614200000 8.860000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Quartz-p3221 (hkl) (Quartz-p3221.str)" -3 2 -1 59.953200000 0.154200000 593.481900000 10.640000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Quartz-p3221 (hkl) (Quartz-p3221.str)" 3 -2 1 59.953200000 0.154200000 593.481900000 10.640000000 1.000000000 1.000000000 0.000000000
